country,confirmed,death,recovered,active,population
Rwanda,5066,34,4830,202,12626950
St. Kitts and Nevis,19,0,19,0,52823
St. Lucia,54,0,27,27,182790
St. Vincent and the Grenadines,73,0,66,7,110589
San Marino,819,42,716,61,33860
Sao Tome and Principe,940,15,902,23,215056
Saudi Arabia,344875,5296,331330,8249,34268528
Senegal,15551,321,14254,976,16296364
Serbia,39486,792,0,38694,6944975
Seychelles,153,0,149,4,97625
Sierra Leone,2346,74,1787,485,7813215
Singapore,57970,28,57858,84,5703569
Slovak Republic,43843,159,9960,33724,5454073
Slovenia,22950,240,8424,14286,2087946
Solomon Islands,4,0,3,1,669823
Somalia,3941,104,3185,652,15442905
South Africa,715868,18968,646170,50730,58558270
South Sudan,2883,56,1290,1537,11062113
Spain,1046132,34752,150376,861004,47076781
Sri Lanka,7872,16,3803,4053,21803000
Sudan,13742,837,6764,6141,42813238
Suriname,5170,109,5032,29,581372
Sweden,110594,5933,0,104661,10285453
Switzerland,103653,2083,55800,45770,8574832
Syria,5408,269,1753,3386,17070135
Tajikistan,10776,81,9889,806,9321018
Tanzania,509,21,183,305,58005463
Thailand,3736,59,3530,147,69625582
Timor-Leste,29,0,28,1,1293119
Togo,2200,52,1600,548,8082366
Trinidad and Tobago,5511,105,4085,1321,1394973
Tunisia,48799,819,5032,42948,11694719
Turkey,361801,9799,314390,37612,83429615
Uganda,11443,101,7351,3991,44269594
Ukraine,353723,6566,147240,199917,44385155
United Arab Emirates,125123,477,118931,5715,9770529
United Kingdom,876840,44986,2685,829169,66834405
Uruguay,2851,53,2351,447,3461734
United States,8660088,225458,3422878,NA,328239523
Uzbekistan,65307,549,62509,2249,33580650
Venezuela,89565,773,83947,4845,28515829
Vietnam,1168,35,1057,76,96462106
West Bank and Gaza,50442,448,43592,6402,4685306
Yemen,2060,599,1360,101,29161922
Zambia,16117,348,15179,590,17861030
Zimbabwe,8276,237,7797,242,14645468
